,precision,recall,f1,number
ANIM,0.714,0.785,0.748,3156.0
BIO,0.545,0.75,0.632,16.0
CEL,0.763,0.725,0.744,80.0
DIS,0.739,0.763,0.751,1502.0
EVE,0.955,0.974,0.965,704.0
FOOD,0.669,0.605,0.636,1130.0
INST,0.643,0.75,0.692,24.0
LOC,0.994,0.994,0.994,24028.0
MEDIA,0.963,0.967,0.965,916.0
MYTH,0.839,0.812,0.825,64.0
ORG,0.98,0.982,0.981,6616.0
PER,0.994,0.995,0.994,10520.0
PLANT,0.618,0.752,0.678,1780.0
TIME,0.832,0.837,0.834,578.0
VEHI,0.867,0.812,0.839,64.0
